Distance,Total Energy
-0.9445635300821453,-4097.566317
-0.8035378890565044,-4125.091717
-0.6625122480308633,-4137.085261
-0.5214866070052222,-4142.598774
-0.38046096597958123,-4145.292948
-0.23943532495394027,-4146.82299
-0.09840968392829919,-4147.509897
0.042615957097341894,-4147.763425
0.18364159812298286,-4147.811834
0.32466723914862383,-4147.792888
0.4656928801742648,-4147.737086
0.606718521199906,-4147.569874
0.747744162225547,-4147.375689
0.8887698032511879,-4147.236404
1.0297954442768291,-4147.143773
1.17082108530247,-4147.133548
1.311846726328111,-4147.030725
1.452872367353752,-4146.971336
1.593898008379393,-4146.957573
1.734923649405034,-4146.963818
1.875949290430675,-4146.932834
2.0169749314563163,-4146.845446
2.1580005724819573,-4146.7503
2.2990262135075983,-4146.679812
2.4400518545332393,-4146.630653
2.58107749555888,-4146.587555
2.722103136584521,-4146.566358
2.863128777610162,-4146.579516
3.0041544186358036,-4146.662643
3.145180059661444,-4146.632447
3.2862057006870855,-4146.561519
3.427231341712726,-4146.514383
3.5682569827383674,-4146.517307
3.709282623764009,-4146.542499
3.8503082647896494,-4146.559362
3.991333905815291,-4146.484526
4.132359546840931,-4146.418433
4.273385187866573,-4146.529207
4.414410828892214,-4146.552248
4.555436469917854,-4146.601594
