S,P,D,F,r_core_flag,rcore,Sscore,Pscore,Dscore,Fscore,Score
0.29,0.26,2.90,2.50,0.00,0.00,0.00219,0.00173,0.00056,0.00000,0.001118025
0.29,0.26,2.90,2.50,0.00,0.00,0.00219,0.00173,0.00056,0.00000,0.001118025
0.29,0.26,2.90,2.50,0.00,0.00,0.00219,0.00173,0.00056,0.00000,0.001118025
0.29,0.26,2.90,2.50,0.00,0.00,0.00219,0.00173,0.00056,0.00000,0.001118025
0.29,0.26,2.90,2.50,0.00,0.00,0.00219,0.00173,0.00056,0.00000,0.001118025
0.29,0.26,2.90,2.50,0.00,0.00,0.00219,0.00173,0.00056,0.00000,0.001118025
0.30,0.40,1.50,2.50,0.00,0.00,0.00565,0.00578,0.00008,0.00000,0.002877272
3.80,0.40,1.50,2.50,0.00,0.00,0.03780,0.02932,0.00053,0.00000,0.016913703
0.30,3.90,1.50,2.50,0.00,0.00,0.00538,0.00730,0.00017,0.00000,0.003213895
0.30,0.40,5.00,2.50,0.00,0.00,0.03885,0.07203,0.00721,0.00000,0.029523460
0.00,0.00,0.00,2.50,0.00,0.00,0.55356,1.05530,0.01843,0.00000,0.406821845
0.29,0.40,2.37,2.50,0.00,0.00,0.00428,0.00348,0.00013,0.00000,0.001973245
1.14,0.21,2.39,2.50,0.00,0.00,0.02417,0.00421,0.00024,0.00000,0.007155682
0.48,1.25,2.38,2.50,0.00,0.00,0.02003,0.00350,0.00073,0.00000,0.006065507
0.00,0.08,2.46,2.50,0.00,0.00,0.00395,0.00294,0.00018,0.00000,0.001769302
-0.00,0.30,2.51,2.50,0.00,0.00,0.00383,0.00279,0.00020,0.00000,0.001706410
0.05,0.27,2.61,2.50,0.00,0.00,0.00341,0.00235,0.00027,0.00000,0.001507255
0.06,0.26,2.82,2.50,0.00,0.00,0.00247,0.00162,0.00048,0.00000,0.001142760
0.17,0.25,3.02,2.50,0.00,0.00,0.00171,0.00318,0.00069,0.00000,0.001393597
0.00,0.38,2.99,2.50,0.00,0.00,0.00188,0.00266,0.00064,0.00000,0.001294880
0.00,0.17,2.84,2.50,0.00,0.00,0.00247,0.00162,0.00048,0.00000,0.001142760
0.04,0.26,2.77,2.50,0.00,0.00,0.00272,0.00158,0.00041,0.00000,0.001177258
0.08,0.24,2.82,2.50,0.00,0.00,0.00247,0.00162,0.00048,0.00000,0.001142760
0.08,0.25,2.88,2.50,0.00,0.00,0.00233,0.00165,0.00052,0.00000,0.001125040
0.10,0.25,2.93,2.50,0.00,0.00,0.00204,0.00218,0.00060,0.00000,0.001202045
0.07,0.23,2.88,2.50,0.00,0.00,0.00233,0.00165,0.00052,0.00000,0.001125040
0.10,0.25,2.93,2.50,0.00,0.00,0.00204,0.00218,0.00060,0.00000,0.001202045
0.09,0.25,2.90,2.50,0.00,0.00,0.00219,0.00173,0.00056,0.00000,0.001118025
0.09,0.26,2.93,2.50,0.00,0.00,0.00204,0.00218,0.00060,0.00000,0.001202045
0.11,0.24,2.89,2.50,0.00,0.00,0.00219,0.00173,0.00056,0.00000,0.001118025
0.10,0.25,2.91,2.50,0.00,0.00,0.00219,0.00173,0.00056,0.00000,0.001118025
0.10,0.26,2.90,2.50,0.00,0.00,0.00219,0.00173,0.00056,0.00000,0.001118025
0.10,0.25,2.90,2.50,0.00,0.00,0.00219,0.00173,0.00056,0.00000,0.001118025
0.09,0.25,2.90,2.50,0.00,0.00,0.00219,0.00173,0.00056,0.00000,0.001118025
0.09,0.25,2.90,2.50,0.00,0.00,0.00219,0.00173,0.00056,0.00000,0.001118025
0.09,0.25,2.90,2.50,0.00,0.00,0.00219,0.00173,0.00056,0.00000,0.001118025
0.30,0.70,1.50,2.50,0.00,0.00,0.00565,0.00578,0.00008,0.00000,0.002877272
0.32,0.70,1.50,2.50,0.00,0.00,0.00565,0.00578,0.00008,0.00000,0.002877272
0.30,0.70,1.58,2.50,0.00,0.00,0.00563,0.00574,0.00008,0.00000,0.002861872
0.31,0.66,1.55,2.50,0.00,0.00,0.00563,0.00575,0.00008,0.00000,0.002866770
0.29,0.68,1.58,2.50,0.00,0.00,0.00563,0.00574,0.00008,0.00000,0.002861872
0.30,0.66,1.64,2.50,0.00,0.00,0.00560,0.00569,0.00008,0.00000,0.002842405
0.30,0.64,1.71,2.50,0.00,0.00,0.00554,0.00560,0.00007,0.00000,0.002804060
0.29,0.68,1.69,2.50,0.00,0.00,0.00556,0.00563,0.00007,0.00000,0.002815080
0.30,0.67,1.74,2.50,0.00,0.00,0.00553,0.00557,0.00007,0.00000,0.002792172
0.30,0.67,1.81,2.50,0.00,0.00,0.00546,0.00547,0.00007,0.00000,0.002750717
0.29,0.63,1.90,2.50,0.00,0.00,0.00536,0.00529,0.00007,0.00000,0.002678330
0.29,0.59,2.06,2.50,0.00,0.00,0.00512,0.00490,0.00007,0.00000,0.002523427
0.31,0.59,2.03,2.50,0.00,0.00,0.00517,0.00497,0.00007,0.00000,0.002553790
0.30,0.59,2.23,2.50,0.00,0.00,0.00471,0.00420,0.00008,0.00000,0.002248295
0.30,0.56,2.49,2.50,0.00,0.00,0.00383,0.00279,0.00020,0.00000,0.001706410
0.30,0.49,2.57,2.50,0.00,0.00,0.00356,0.00250,0.00024,0.00000,0.001577385
