Distance,Total Energy
-2.3501264407131783,-4146.535499
-2.21219540623042,-4146.346986
-2.074264371747661,-4146.424817
-1.9363333372649025,-4146.183891
-1.7984023027821439,-4147.127285
-1.6604712682993852,-4146.933519
-1.5225402338166267,-4146.811828
-1.384609199333868,-4146.715793
-1.2466781648511094,-4146.72878
-1.1087471303683507,-4146.604064
-0.970816095885592,-4146.491578
-0.8328850614028336,-4146.417428
-0.6949540269200749,-4146.569292
-0.5570229924373162,-4146.439873
-0.4190919579545578,-4146.361608
-0.2811609234717989,-4146.277567
-0.14322988898904043,-4147.807517
-0.00529885450628198,-4148.034191
0.13263217997647692,-4147.981728
0.27056321445923537,-4147.786344
0.40849424894199426,-4147.61858
0.5464252834247527,-4147.556027
0.6843563179075112,-4147.528738
0.8222873523902701,-4147.406383
0.9602183868730285,-4147.222014
1.098149421355787,-4147.048766
1.2360804558385459,-4146.732029
1.3740114903213043,-4146.699532
1.5119425248040628,-4146.409934
1.6498735592868217,-4146.396639
