rs,rp,rd,rf,r_core_flag,rcore,DeltaE,DeltaEig,hardness,score
0.08423,0.55954,1.58397,0.00000,1.00000,0.08009,0.00845,0.00828,0.06709,0.08381604
0.37531,0.11324,2.57284,0.00000,1.00000,2.64248,0.00482,0.00507,0.00000,0.00988670
1.46874,0.11324,2.57284,0.00000,1.00000,2.64248,0.00683,0.00658,0.00747,0.02088147
1.46874,2.20946,2.57284,0.00000,1.00000,2.64248,0.00658,0.00646,0.00747,0.02051010
1.46874,2.20946,0.67003,0.00000,1.00000,2.64248,0.00658,0.00646,0.02984,0.04287207
1.46874,2.20946,0.67003,0.00000,1.00000,2.77982,0.00631,0.00608,0.02984,0.04222965
1.92314,0.01120,2.32066,0.00000,1.00000,1.36839,0.01088,0.01060,0.00027,0.02174080
2.30053,2.41139,0.55387,0.00000,1.00000,2.67169,0.02518,0.02171,0.02236,0.06925342
1.65041,1.87398,2.42677,0.00000,1.00000,2.93381,0.00379,0.00460,0.00000,0.00839162
2.35543,1.62155,2.10432,0.00000,1.00000,1.86869,0.03232,0.02870,0.02236,0.08337735
0.64329,1.62155,2.10432,0.00000,1.00000,1.86869,0.00604,0.00943,0.00247,0.01794218
0.64329,0.32029,2.10432,0.00000,1.00000,1.86869,0.00624,0.00832,0.00000,0.01456296
0.64329,0.32029,1.43417,0.00000,1.00000,1.86869,0.00624,0.00832,0.00000,0.01456306
0.64329,0.32029,1.43417,0.00000,1.00000,0.65597,0.00829,0.00823,0.00069,0.01721031
1.57184,2.21320,2.56024,0.00000,1.00000,2.18250,0.00573,0.00763,0.00000,0.01336047
0.71434,0.61826,2.10430,0.00000,1.00000,1.32500,0.00777,0.00809,0.00033,0.01619584
0.39037,1.31697,3.30301,0.00000,1.00000,2.40253,0.00679,0.01047,0.02236,0.03962111
1.09557,1.31697,3.30301,0.00000,1.00000,2.40253,0.04515,0.05972,0.05768,0.16255083
1.09557,2.06897,3.30301,0.00000,1.00000,2.40253,0.04301,0.05283,0.06709,0.16292807
1.09557,2.06897,0.56016,0.00000,1.00000,2.40253,0.04301,0.05283,0.06709,0.16292807
1.09557,2.06897,0.56016,0.00000,1.00000,1.42792,0.04712,0.05023,0.03532,0.13266801
2.20343,0.48351,0.24295,0.00000,1.00000,0.21854,0.02554,0.02151,0.06709,0.11414076
1.07049,0.33243,0.23348,0.00000,1.00000,1.08560,0.06932,0.07425,0.04488,0.18844835
1.84420,0.33243,0.23348,0.00000,1.00000,1.08560,0.00974,0.00941,0.02278,0.04193431
1.84420,2.27394,0.23348,0.00000,1.00000,1.08560,0.00906,0.00908,0.02278,0.04092098
1.84420,2.27394,2.01589,0.00000,1.00000,1.08560,0.00906,0.00908,0.00058,0.01871311
1.84420,2.27394,2.01589,0.00000,1.00000,2.30396,0.00659,0.00755,0.00000,0.01413708
0.32735,0.57508,2.99905,0.00000,1.00000,0.71936,0.00827,0.00823,0.00046,0.01695785
1.88493,1.31365,0.99268,0.00000,1.00000,2.16732,0.00736,0.01222,0.03532,0.05489454
2.39083,2.58315,1.04123,0.00000,1.00000,0.13805,0.03772,0.03161,0.06709,0.13641425
0.44078,2.23386,0.84320,0.00000,1.00000,0.38973,0.00769,0.00795,0.02254,0.03817713
