rs,rp,rd,rf,r_core_flag,rcore,DeltaE,DeltaEig,hardness,score
0.05499,1.54784,0.97787,0.00000,1.00000,0.19915,0.01082,0.00862,0.06709,0.08652689
0.05499,1.09722,0.97787,0.00000,1.00000,0.19915,0.00605,0.01373,0.06709,0.08686527
0.05499,1.09722,1.64230,0.00000,1.00000,0.19915,0.00605,0.01373,0.06709,0.08686527
0.05499,1.09722,1.64230,0.00000,1.00000,0.82548,0.01034,0.01357,0.02283,0.04674053
1.59651,2.96596,0.82807,0.00000,1.00000,1.13982,0.01349,0.00890,0.02236,0.04475149
2.49780,2.80806,2.69696,0.00000,1.00000,1.45740,0.03345,0.04163,0.00000,0.07508489
2.06993,1.69894,2.26629,0.00000,1.00000,2.07645,0.00829,0.01439,0.00009,0.02276981
0.71351,1.69894,2.26629,0.00000,1.00000,2.07645,0.01391,0.01034,0.00000,0.02425529
0.71351,2.12498,2.26629,0.00000,1.00000,2.07645,0.01224,0.00954,0.00000,0.02178352
0.71351,2.12498,2.52209,0.00000,1.00000,2.07645,0.01224,0.00954,0.00000,0.02178352
0.71351,2.12498,2.52209,0.00000,1.00000,2.52761,0.01306,0.00940,0.00000,0.02246368
1.40946,0.16488,2.27046,0.00000,1.00000,2.78699,0.01206,0.01059,0.02236,0.04501575
1.13089,1.32007,0.30363,0.00000,1.00000,2.53317,0.03219,0.04895,0.06709,0.14822965
1.23366,2.14572,2.85105,0.00000,1.00000,2.23120,0.01144,0.01951,0.03097,0.06191494
0.45961,2.80756,2.82238,0.00000,1.00000,0.82640,0.01227,0.00864,0.00005,0.02096267
0.16140,2.80756,2.82238,0.00000,1.00000,0.82640,0.01227,0.00864,0.00005,0.02096267
0.16140,2.80756,2.17143,0.00000,1.00000,0.82640,0.01227,0.00864,0.00005,0.02096267
0.16140,2.80756,2.17143,0.00000,1.00000,0.14442,0.01179,0.00863,0.06709,0.08750741
1.11714,1.49837,0.29036,0.00000,1.00000,1.27759,0.03074,0.04313,0.06709,0.14095697
1.94826,0.51760,2.38434,0.00000,1.00000,1.17921,0.00743,0.01115,0.00000,0.01858485
0.03177,2.93208,1.68030,0.00000,1.00000,1.04452,0.01320,0.00880,0.00016,0.02215790
1.50687,2.36436,0.22530,0.00000,1.00000,2.34143,0.01299,0.01053,0.04472,0.06824441
1.50687,1.68605,0.22530,0.00000,1.00000,2.34143,0.01437,0.01119,0.04499,0.07055503
1.50687,1.68605,1.02333,0.00000,1.00000,2.34143,0.01437,0.01119,0.03010,0.05566657
1.50687,1.68605,1.02333,0.00000,1.00000,1.56353,0.01150,0.00975,0.01868,0.03992657
2.18668,1.74701,3.43031,0.00000,1.00000,0.77801,0.01100,0.02002,0.00021,0.03122907
2.05070,1.09594,0.96037,0.00000,1.00000,0.94592,0.00845,0.01771,0.04472,0.07088234
1.61533,1.14754,1.54509,0.00000,1.00000,2.01979,0.01944,0.01744,0.02236,0.05924093
1.64853,1.14754,1.54509,0.00000,1.00000,2.01979,0.01950,0.01738,0.02236,0.05924298
1.64853,2.61919,1.54509,0.00000,1.00000,2.01979,0.01444,0.01039,0.00000,0.02483067
1.64853,2.61919,1.79238,0.00000,1.00000,2.01979,0.01444,0.01039,0.00000,0.02483066
1.64853,2.61919,1.79238,0.00000,1.00000,2.81715,0.01543,0.00974,0.00000,0.02516773
1.98646,1.69047,2.57443,0.00000,1.00000,1.82561,0.00949,0.01210,0.00009,0.02167667
1.88442,1.52834,2.47725,0.00000,1.00000,2.22357,0.01456,0.01225,0.02236,0.04917537
1.25251,2.99100,2.69046,0.00000,1.00000,2.38987,0.01695,0.01917,0.02914,0.06525389
1.33231,0.06017,2.25702,0.00000,1.00000,1.93910,0.01020,0.01276,0.02236,0.04532305
1.77420,0.06017,2.25702,0.00000,1.00000,1.93910,0.01146,0.00963,0.00000,0.02109381
1.77420,0.69330,2.25702,0.00000,1.00000,1.93910,0.01146,0.00963,0.00000,0.02109381
1.77420,0.69330,0.49202,0.00000,1.00000,1.93910,0.01146,0.00963,0.02236,0.04345578
1.77420,0.69330,0.49202,0.00000,1.00000,1.15533,0.00931,0.00846,0.02236,0.04012985
0.42343,0.43703,0.33930,0.00000,1.00000,1.64695,0.01080,0.00865,0.02236,0.04181371
