rs,rp,rd,rf,r_core_flag,rcore,DeltaE,DeltaEig,hardness,score
1.56636,2.70650,0.78546,0.00000,1.00000,0.00000,0.19652,0.33670,0.02236,0.55558283
0.72748,1.08089,3.16554,0.00000,1.00000,0.00000,0.01278,0.00776,0.04472,0.06526654
0.99202,2.36713,0.11204,0.00000,1.00000,0.00000,0.07235,0.16811,0.04472,0.28518859
0.99202,1.86490,0.11204,0.00000,1.00000,0.00000,0.01741,0.06488,0.04279,0.12507591
0.99202,1.86490,2.07459,0.00000,1.00000,0.00000,0.01741,0.06488,0.04279,0.12507591
0.57483,0.96684,0.29999,0.00000,1.00000,0.00000,0.02490,0.01557,0.06709,0.10755968
0.10983,0.90548,0.61386,0.00000,1.00000,0.00000,0.01331,0.00636,0.06709,0.08675353
1.91949,0.15465,3.45744,0.00000,1.00000,0.00000,0.07511,0.11176,0.06709,0.25395267
1.00693,0.15465,3.45744,0.00000,1.00000,0.00000,0.00794,0.01815,0.06709,0.09317919
1.00693,2.56174,3.45744,0.00000,1.00000,0.00000,0.11294,0.22000,0.01295,0.34589685
1.00693,2.56174,2.55508,0.00000,1.00000,0.00000,0.11294,0.22000,0.01295,0.34589685
1.27932,1.70400,1.90807,0.00000,1.00000,0.00000,0.03004,0.05903,0.00024,0.08930800
1.52417,1.77040,0.07936,0.00000,1.00000,0.00000,0.05254,0.08528,0.02237,0.16019003
2.10812,1.38169,2.53027,0.00000,1.00000,0.00000,0.07510,0.11017,0.00047,0.18573703
1.68384,1.38169,2.53027,0.00000,1.00000,0.00000,0.05870,0.08899,0.00047,0.14815746
1.68384,2.82061,2.53027,0.00000,1.00000,0.00000,0.24156,0.39783,0.00000,0.63938753
1.68384,2.82061,0.41594,0.00000,1.00000,0.00000,0.24156,0.39783,0.02236,0.66174950
2.26591,2.40268,3.21298,0.00000,1.00000,0.00000,0.13611,0.24658,0.00000,0.38269397
2.16903,1.74386,0.12333,0.00000,1.00000,0.00000,0.07959,0.12278,0.02239,0.22476206
2.34934,1.74386,0.12333,0.00000,1.00000,0.00000,0.06635,0.10519,0.02239,0.19393477
2.34934,2.36457,0.12333,0.00000,1.00000,0.00000,0.12080,0.22694,0.02236,0.37009903
2.34934,2.36457,1.86891,0.00000,1.00000,0.00000,0.12080,0.22694,0.00000,0.34773706
1.45598,1.30737,0.80064,0.00000,1.00000,0.00000,0.03642,0.05789,0.03962,0.13392494
2.43987,0.99247,2.49718,0.00000,1.00000,0.00000,0.04623,0.07502,0.02333,0.14458106
1.71150,1.59742,3.05190,0.00000,1.00000,0.00000,0.06308,0.09636,0.00247,0.16191120
1.66099,0.99247,2.49718,0.00000,1.00000,0.00000,0.05358,0.08025,0.04614,0.17997448
1.66099,1.33463,2.49718,0.00000,1.00000,0.00000,0.05464,0.08324,0.00248,0.14036138
1.66099,1.33463,2.43586,0.00000,1.00000,0.00000,0.05464,0.08324,0.00248,0.14036140
2.03110,0.38022,3.21539,0.00000,1.00000,0.00000,0.07483,0.10948,0.06709,0.25139905
2.29562,0.23788,1.71378,0.00000,1.00000,0.00000,0.06556,0.09921,0.06709,0.23185846
1.58005,1.04273,2.79790,0.00000,1.00000,0.00000,0.04640,0.07075,0.00856,0.12571091
1.49068,1.04273,2.79790,0.00000,1.00000,0.00000,0.03906,0.06065,0.03414,0.13384304
1.49068,2.18189,2.79790,0.00000,1.00000,0.00000,0.07631,0.14762,0.00000,0.22393073
1.49068,2.18189,0.93545,0.00000,1.00000,0.00000,0.07631,0.14762,0.02236,0.24629270
2.34045,1.79226,1.67860,0.00000,1.00000,0.00000,0.06895,0.11169,0.00001,0.18064765
2.49154,2.60192,2.93869,0.00000,1.00000,0.00000,0.14740,0.27417,0.00000,0.42156722
1.83212,1.90437,0.22890,0.00000,1.00000,0.00000,0.08245,0.13339,0.02236,0.23820723
1.55172,1.90437,0.22890,0.00000,1.00000,0.00000,0.05987,0.10163,0.02236,0.18385775
1.55172,0.01934,0.22890,0.00000,1.00000,0.00000,0.04893,0.07696,0.06709,0.19298020
1.55172,0.01934,2.25323,0.00000,1.00000,0.00000,0.04893,0.07696,0.06709,0.19298020
2.44117,1.09206,1.82595,0.00000,1.00000,0.00000,0.04650,0.07575,0.00479,0.12703678
1.07041,1.72130,2.81827,0.00000,1.00000,0.00000,0.01879,0.04735,0.02264,0.08877692
2.01762,1.31660,1.53489,0.00000,1.00000,0.00000,0.07527,0.10994,0.00430,0.18951775
2.09754,1.31660,1.53489,0.00000,1.00000,0.00000,0.07509,0.10977,0.00430,0.18916686
2.09754,1.01691,1.53489,0.00000,1.00000,0.00000,0.07412,0.10710,0.04477,0.22599710
2.09754,1.01691,0.16457,0.00000,1.00000,0.00000,0.07412,0.10710,0.04477,0.22599710
2.21684,1.77624,1.24285,0.00000,1.00000,0.00000,0.07844,0.12261,0.00001,0.20105789
0.08902,0.37326,2.94091,0.00000,1.00000,0.00000,0.01028,0.00825,0.06709,0.08561759
1.81696,0.19312,1.89766,0.00000,1.00000,0.00000,0.06944,0.10385,0.06709,0.24037604
2.10075,0.19312,1.89766,0.00000,1.00000,0.00000,0.07664,0.11342,0.06709,0.25714824
2.10075,0.43862,1.89766,0.00000,1.00000,0.00000,0.07435,0.10847,0.06709,0.24990353
2.10075,0.43862,1.48189,0.00000,1.00000,0.00000,0.07435,0.10847,0.06709,0.24990353
1.29478,1.28489,1.22603,0.00000,1.00000,0.00000,0.02881,0.03784,0.04481,0.11146248
1.10556,2.55896,2.40673,0.00000,1.00000,0.00000,0.11515,0.22291,0.02236,0.36042027
0.18143,0.13934,2.53043,0.00000,1.00000,0.00000,0.00649,0.01621,0.06709,0.08978712
1.00093,0.13934,2.53043,0.00000,1.00000,0.00000,0.00816,0.01882,0.06709,0.09406482
1.00093,0.37511,2.53043,0.00000,1.00000,0.00000,0.00995,0.01241,0.06709,0.08944483
1.00093,0.37511,1.49213,0.00000,1.00000,0.00000,0.00995,0.01241,0.06709,0.08944483
0.03346,2.08861,3.13781,0.00000,1.00000,0.00000,0.03011,0.10092,0.06709,0.19811969
2.15461,1.96541,2.40210,0.00000,1.00000,0.00000,0.09277,0.15221,0.00000,0.24497807
1.41083,0.09769,0.24976,0.00000,1.00000,0.00000,0.03428,0.05597,0.06709,0.15733862
0.06339,0.09769,0.24976,0.00000,1.00000,0.00000,0.00570,0.01796,0.06709,0.09074884
0.06339,1.34335,0.24976,0.00000,1.00000,0.00000,0.01175,0.01321,0.04720,0.07215792
0.06339,1.34335,1.47905,0.00000,1.00000,0.00000,0.01175,0.01321,0.02485,0.04981265
2.39002,1.64128,0.28112,0.00000,1.00000,0.00000,0.05616,0.09099,0.02263,0.16978512
2.46813,0.02657,2.10416,0.00000,1.00000,0.00000,0.04582,0.07806,0.06709,0.19096171
0.25419,2.54861,0.74587,0.00000,1.00000,0.00000,0.11267,0.21777,0.02425,0.35469005
0.63728,2.54861,0.74587,0.00000,1.00000,0.00000,0.11071,0.21784,0.04473,0.37327827
0.63728,1.36545,0.74587,0.00000,1.00000,0.00000,0.01412,0.01613,0.02625,0.05650200
0.63728,1.36545,0.96986,0.00000,1.00000,0.00000,0.01412,0.01613,0.04614,0.07639134
1.85853,2.52597,3.47568,0.00000,1.00000,0.00000,0.16759,0.29124,0.00000,0.45882775
1.49529,1.83890,2.78274,0.00000,1.00000,0.00000,0.05195,0.09057,0.00000,0.14252814
2.15739,1.67523,0.94031,0.00000,1.00000,0.00000,0.07885,0.11900,0.02252,0.22036230
1.62178,1.67523,0.94031,0.00000,1.00000,0.00000,0.05770,0.08981,0.02263,0.17013821
1.62178,0.32965,0.94031,0.00000,1.00000,0.00000,0.05262,0.07968,0.06709,0.19938313
1.62178,0.32965,3.09467,0.00000,1.00000,0.00000,0.05262,0.07968,0.06709,0.19938313
1.36856,0.17332,1.95492,0.00000,1.00000,0.00000,0.03005,0.04877,0.06709,0.14590209
2.42772,2.05187,0.04511,0.00000,1.00000,0.00000,0.07150,0.13148,0.02236,0.22534419
1.87614,2.94553,1.98624,0.00000,1.00000,0.00000,0.29258,0.46522,0.00000,0.75779579
1.74504,2.05187,0.04511,0.00000,1.00000,0.00000,0.08627,0.14836,0.02236,0.25699112
1.74504,0.29230,0.04511,0.00000,1.00000,0.00000,0.06209,0.09302,0.06709,0.22219190
1.74504,0.29230,1.86458,0.00000,1.00000,0.00000,0.06209,0.09302,0.06709,0.22219190
0.89294,2.54036,1.68626,0.00000,1.00000,0.00000,0.10489,0.20904,0.00430,0.31823302
1.15009,2.45408,2.39183,0.00000,1.00000,0.00000,0.09456,0.19751,0.01295,0.30502776
1.56619,0.90405,1.17151,0.00000,1.00000,0.00000,0.04619,0.06991,0.04554,0.16163614
0.91045,0.90405,1.17151,0.00000,1.00000,0.00000,0.01352,0.00746,0.04473,0.06571473
0.91045,0.73664,1.17151,0.00000,1.00000,0.00000,0.01252,0.00710,0.02985,0.04946367
0.91045,0.73664,0.27004,0.00000,1.00000,0.00000,0.01252,0.00710,0.05220,0.07181606
0.67778,2.43895,3.47234,0.00000,1.00000,0.00000,0.08398,0.18196,0.02248,0.28841522
1.81141,2.09194,0.89531,0.00000,1.00000,0.00000,0.09548,0.16519,0.00027,0.26093741
2.46025,0.02317,1.05055,0.00000,1.00000,0.00000,0.04584,0.07811,0.06709,0.19103798
2.37351,0.02317,1.05055,0.00000,1.00000,0.00000,0.05909,0.09368,0.06709,0.21985982
2.37351,1.27814,1.05055,0.00000,1.00000,0.00000,0.05546,0.08677,0.01377,0.15599528
2.37351,1.27814,2.56368,0.00000,1.00000,0.00000,0.05546,0.08677,0.01295,0.15517997
0.94425,1.67961,3.22154,0.00000,1.00000,0.00000,0.01328,0.03954,0.04614,0.09896269
1.82140,2.95268,1.46439,0.00000,1.00000,0.00000,0.28928,0.46136,0.00000,0.75063651
1.35871,2.38200,0.00068,0.00000,1.00000,0.00000,0.08846,0.18430,0.02237,0.29512924
2.49342,2.38200,0.00068,0.00000,1.00000,0.00000,0.09767,0.19944,0.02236,0.31947082
2.49342,0.58294,0.00068,0.00000,1.00000,0.00000,0.03572,0.06154,0.06709,0.16434673
2.49342,0.58294,0.26734,0.00000,1.00000,0.00000,0.03572,0.06154,0.06709,0.16434673
2.35549,1.49312,2.46158,0.00000,1.00000,0.00000,0.06063,0.09417,0.02236,0.17716691
0.27565,1.81294,2.48562,0.00000,1.00000,0.00000,0.01039,0.05234,0.06709,0.12982088
2.00234,2.32437,2.33023,0.00000,1.00000,0.00000,0.12826,0.23086,0.00000,0.35912247
0.50470,1.81294,2.48562,0.00000,1.00000,0.00000,0.04207,0.06390,0.06709,0.17305436
0.50470,2.81702,2.48562,0.00000,1.00000,0.00000,0.18637,0.32410,0.06709,0.57755878
0.50470,1.81294,0.37750,0.00000,1.00000,0.00000,0.04207,0.06390,0.06709,0.17305436
1.86976,1.29855,2.29325,0.00000,1.00000,0.00000,0.07067,0.10408,0.00747,0.18221901
0.70442,2.99472,2.19164,0.00000,1.00000,0.00000,0.24613,0.40678,0.02240,0.67530634
1.40749,0.58228,1.22512,0.00000,1.00000,0.00000,0.03032,0.04688,0.06709,0.14428115
0.96108,0.58228,1.22512,0.00000,1.00000,0.00000,0.01150,0.00908,0.06709,0.08766220
0.96108,2.46754,1.22512,0.00000,1.00000,0.00000,0.09079,0.19212,0.02236,0.30527325
0.96108,2.46754,2.06392,0.00000,1.00000,0.00000,0.09079,0.19212,0.02236,0.30527268
0.17948,0.44806,2.74443,0.00000,1.00000,0.00000,0.01096,0.00704,0.06709,0.08508441
0.87558,1.58921,3.49505,0.00000,1.00000,0.00000,0.01156,0.03042,0.06709,0.10906838
2.30237,0.76955,3.48104,0.00000,1.00000,0.00000,0.06076,0.09022,0.06709,0.21807039
2.49069,0.76955,3.48104,0.00000,1.00000,0.00000,0.03576,0.06241,0.06709,0.16525849
2.49069,0.75646,3.48104,0.00000,1.00000,0.00000,0.03575,0.06235,0.06709,0.16518771
2.49069,0.75646,0.45149,0.00000,1.00000,0.00000,0.03575,0.06235,0.06709,0.16518771
2.20712,2.08286,0.23706,0.00000,1.00000,0.00000,0.10023,0.17203,0.02236,0.29462360
0.94015,2.34316,0.44567,0.00000,1.00000,0.00000,0.06669,0.15959,0.04477,0.27105869
0.84132,0.64202,1.74812,0.00000,1.00000,0.00000,0.01213,0.00608,0.04477,0.06298244
2.35329,0.64202,1.74812,0.00000,1.00000,0.00000,0.05769,0.08652,0.06709,0.21130047
2.35329,1.40425,1.74812,0.00000,1.00000,0.00000,0.05969,0.09232,0.00027,0.15227881
2.35329,1.40425,1.84843,0.00000,1.00000,0.00000,0.05969,0.09232,0.00027,0.15227880
1.11120,0.92594,0.57505,0.00000,1.00000,0.00000,0.01683,0.01697,0.06709,0.10088292
1.95626,1.93115,0.00096,0.00000,1.00000,0.00000,0.09201,0.14951,0.02236,0.26388294
1.06848,0.73403,0.91975,0.00000,1.00000,0.00000,0.01367,0.01383,0.05768,0.08517678
0.93145,0.73403,0.91975,0.00000,1.00000,0.00000,0.01253,0.00771,0.05220,0.07243281
0.93145,2.00236,0.91975,0.00000,1.00000,0.00000,0.02320,0.08293,0.06709,0.17321307
0.93145,2.00236,1.95864,0.00000,1.00000,0.00000,0.02320,0.08293,0.04554,0.15166642
1.16007,0.77276,3.42650,0.00000,1.00000,0.00000,0.01627,0.02114,0.06709,0.10449280
2.36870,1.64458,2.07985,0.00000,1.00000,0.00000,0.06008,0.09539,0.00027,0.15574199
2.46250,2.20789,0.74280,0.00000,1.00000,0.00000,0.08142,0.15909,0.02236,0.26287440
1.48046,1.64458,2.07985,0.00000,1.00000,0.00000,0.04254,0.06848,0.00047,0.11148601
1.48046,1.98097,2.07985,0.00000,1.00000,0.00000,0.05866,0.11120,0.00000,0.16985620
