S,P,D,F,rcore_flag,rcore,DeltaE,qmax,Score
1.43,0.59,1.56,0.73,0.0,0.0,0.02756,0.0018649066177207417,0.029424906617720743
1.43,2.22,1.56,0.73,0.0,0.0,0.030610000000000002,0.0018649066177207417,0.03247490661772074
1.43,2.22,1.32,0.73,0.0,0.0,0.03075,0.0018649066177207417,0.03261490661772074
1.43,2.22,1.32,0.34,0.0,0.0,0.03075,0.0019051482536448666,0.032655148253644864
0.4,2.22,1.32,0.34,0.0,0.0,0.03093,0.0019051482536448666,0.032835148253644864
0.4,1.72,1.32,0.34,0.0,0.0,0.027269999999999996,0.0019051482536448666,0.029175148253644863
0.4,1.72,0.01,0.34,0.0,0.0,0.027319999999999997,0.0019051482536448666,0.029225148253644865
0.4,1.72,0.01,2.31,0.0,0.0,0.027319999999999997,0.0019051482536448666,0.029225148253644865
1.3,2.37,2.14,3.43,0.0,0.0,0.031129999999999998,0.0019051482536448666,0.03303514825364486
1.17,1.4,2.34,0.22,0.0,0.0,0.09820000000000001,0.0019051482536448666,0.10010514825364487
1.17,1.57,2.34,0.22,0.0,0.0,0.10094,0.0019051482536448666,0.10284514825364487
1.17,1.57,1.79,0.22,0.0,0.0,0.10427,0.0019051482536448666,0.10617514825364487
1.17,1.57,1.79,2.17,0.0,0.0,0.10427,0.0019051482536448666,0.10617514825364487
0.59,1.93,1.0,1.33,0.0,0.0,0.02679,0.0019051482536448666,0.02869514825364487
0.13,1.58,1.92,0.52,0.0,0.0,0.02874,0.0019051482536448666,0.03064514825364487
0.58,0.53,2.77,1.43,0.0,0.0,0.02366,0.0019051482536448666,0.02556514825364487
0.27,0.18,0.13,3.54,0.0,0.0,0.02789,0.0019051482536448666,0.02979514825364487
0.2,0.18,0.13,3.54,0.0,0.0,0.02789,0.0019051482536448666,0.02979514825364487
0.2,1.35,0.13,3.54,0.0,0.0,0.04618,0.0018866951493840523,0.04806669514938405
0.2,1.35,0.45,3.54,0.0,0.0,0.046189999999999995,0.0018866951493840523,0.04807669514938405
0.2,1.35,0.45,3.21,0.0,0.0,0.046189999999999995,0.0018866951493840523,0.04807669514938405
0.15,1.7,0.12,2.46,0.0,0.0,0.02761,0.0019051482536448666,0.029515148253644867
1.41,2.1,2.28,2.56,0.0,0.0,0.026170000000000002,0.0019051482536448666,0.02807514825364487
0.47,0.31,2.43,1.65,0.0,0.0,0.02507,0.0019051482536448666,0.026975148253644866
