S,P,D,F,rcore_flag,rcore,DeltaE,qmax,Score
0.06,1.3,1.94,0.03,0.0,0.0,1249.2947100000001,1.8392850623555859,1251.1339950623558
0.53,2.05,1.5,3.95,0.0,0.0,496.83684999999997,1.9051482536448665,498.74199825364485
1.15,0.36,0.11,1.12,0.0,0.0,483.31214,1.9051482536448665,485.2172882536449
1.22,1.29,1.81,1.89,0.0,0.0,496.27169000000004,1.856817601110895,498.1285076011109
0.41,0.42,1.73,0.15,0.0,0.0,744.59862,1.9051482536448665,746.5037682536448
1.35,1.58,1.73,0.15,0.0,0.0,663.7622799999999,1.5545997223493822,665.3168797223493
1.35,0.42,0.81,0.15,0.0,0.0,444.01430000000005,1.9051482536448665,445.91944825364493
1.35,0.42,0.81,2.53,0.0,0.0,444.01430000000005,1.9051482536448665,445.91944825364493
1.27,1.7,2.0,0.45,0.0,0.0,673.64417,1.0312398314460312,674.675409831446
1.42,0.42,0.81,2.53,0.0,0.0,921.97912,1.9051482536448665,923.8842682536448
1.35,0.42,2.74,2.53,0.0,0.0,444.01430000000005,1.9051482536448665,445.91944825364493
1.35,0.42,2.74,1.37,0.0,0.0,444.01430000000005,1.9051482536448665,445.91944825364493
1.5,0.31,1.29,3.3,0.0,0.0,698.01187,1.9051482536448665,699.9170182536449
0.23,1.14,0.74,2.03,0.0,0.0,713.80344,1.9051482536448665,715.7085882536448
0.63,1.14,2.96,0.95,0.0,0.0,489.81928000000005,1.9051482536448665,491.72442825364493
0.52,1.73,1.11,2.29,0.0,0.0,477.89659000000006,1.9051482536448665,479.80173825364494
1.35,1.49,2.74,1.37,0.0,0.0,697.72705,1.5963735554792424,699.3234235554792
1.35,0.42,2.53,1.37,0.0,0.0,444.01430000000005,1.9051482536448665,445.91944825364493
1.35,0.42,2.53,2.82,0.0,0.0,444.01430000000005,1.9051482536448665,445.91944825364493
0.69,0.1,2.17,1.99,0.0,0.0,845.2111200000002,1.8482836399575129,847.0594036399576
0.66,2.17,2.89,1.53,0.0,0.0,447.65097,1.9051482536448665,449.55611825364485
0.76,1.97,0.97,0.17,0.0,0.0,489.96385000000004,1.9051482536448665,491.8689982536449
1.35,1.49,2.53,2.82,0.0,0.0,697.72705,1.6161344271055262,699.3431844271055
1.35,0.42,0.17,2.82,0.0,0.0,444.01430000000005,1.9051482536448665,445.91944825364493
1.35,0.42,0.17,1.03,0.0,0.0,444.01430000000005,1.9051482536448665,445.91944825364493
0.68,1.89,2.0,2.87,0.0,0.0,707.7426,1.9051482536448665,709.6477482536449
1.43,1.06,0.66,0.7,0.0,0.0,1084.8481199999999,1.8798266996519848,1086.727946699652
1.14,2.07,2.25,2.41,0.0,0.0,791.4543700000002,1.9051482536448665,793.359518253645
0.16,0.42,0.17,1.03,0.0,0.0,473.14855,1.8725700114960693,475.02112001149607
1.35,0.99,0.17,1.03,0.0,0.0,564.90226,1.8931933404003516,566.7954533404003
1.35,0.42,1.24,1.03,0.0,0.0,444.01430000000005,1.9051482536448665,445.91944825364493
1.35,0.42,1.24,1.8,0.0,0.0,444.01430000000005,1.9051482536448665,445.91944825364493
0.83,1.34,0.89,1.27,0.0,0.0,644.02549,1.8093010702017809,645.8347910702017
1.49,1.31,0.28,0.62,0.0,0.0,542.40101,1.9051482536448665,544.3061582536449
0.22,2.3,0.53,0.21,0.0,0.0,721.26511,1.9051482536448665,723.1702582536449
0.07,0.51,0.48,1.99,0.0,0.0,804.39663,1.9051482536448665,806.3017782536448
1.08,0.42,1.24,1.8,0.0,0.0,447.78157000000004,1.9051482536448665,449.6867182536449
1.35,1.32,1.24,1.8,0.0,0.0,443.23436,1.8725700114960693,445.10693001149605
1.35,1.32,0.44,1.8,0.0,0.0,443.23436,1.8931933404003516,445.1275533404003
1.35,1.32,0.44,1.4,0.0,0.0,443.23436,1.8931933404003516,445.1275533404003
0.6,0.27,0.77,2.47,0.0,0.0,751.81135,1.8725700114960693,753.6839200114961
