Distance,Total Energy
-1.1468295114259508,-3998.28006
-1.0058038704003098,-3998.762732
-0.8647782293746687,-3998.760446
-0.7237525883490277,-3998.951159
-0.5827269473233867,-3998.814172
-0.44170130629774573,-3999.134305
-0.30067566527210465,-3998.708834
-0.15965002424646357,-3972.160019
-0.018624383220822605,-3998.844017
0.12240125780481836,-3998.759075
0.26342689883045933,-3999.139342
0.4044525398561005,-3998.881169
0.5454781808817415,-3991.704951
0.6865038219073825,-3998.910722
0.8275294629330237,-3998.859666
0.9685551039586646,-3998.788833
1.1095807449843056,-3998.99157
1.2506063860099466,-3896.270555
1.3916320270355875,-3999.249739
1.5326576680612285,-3998.816324
1.6736833090868695,-3812.184977
1.8147089501125109,-3998.716456
1.9557345911381518,-3998.7882
2.096760232163793,-3995.280478
2.237785873189434,-3998.770978
2.3788115142150748,-3998.749366
2.5198371552407157,-3997.184675
2.6608627962663567,-3998.918413
2.801888437291998,-3946.355108
2.9429140783176386,-3999.253967
3.08393971934328,-3999.14599
3.2249653603689206,-3999.303536
3.365991001394562,-3998.86024
3.5070166424202034,-3999.261651
3.648042283445844,-3998.751763
3.7890679244714853,-3998.723669
3.930093565497126,-3999.065547
4.071119206522767,-3985.143302
4.212144847548408,-3998.999735
4.353170488574049,-3998.822729
