rs,rp,rd,rf,r_core_flag,rcore,DeltaE,DeltaEig,hardness,score
0.57298,1.50059,1.59862,0.00000,1.00000,2.65440,0.00397,0.00621,0.00027,0.01045096
0.57298,2.90554,1.59862,0.00000,1.00000,2.65440,0.00347,0.00668,0.00000,0.01014978
0.57298,2.90554,0.16963,0.00000,1.00000,2.65440,0.00347,0.00666,0.02236,0.03249061
0.57298,2.90554,1.59862,0.00000,1.00000,1.43204,0.00300,0.00830,0.00003,0.01133379
2.36921,2.48995,2.27012,0.00000,1.00000,0.01467,0.04614,0.05602,0.06709,0.16924443
1.42168,0.47661,0.01437,0.00000,1.00000,1.26886,0.00452,0.00873,0.02241,0.03566496
0.55031,2.86810,2.41839,0.00000,1.00000,0.15888,0.00316,0.00840,0.06709,0.07865091
1.86059,1.05313,0.17391,0.00000,1.00000,2.58527,0.01637,0.01896,0.04477,0.08010743
0.30041,2.90554,1.59862,0.00000,1.00000,1.43204,0.00300,0.00830,0.00003,0.01133379
0.30041,2.86173,1.59862,0.00000,1.00000,1.43204,0.00305,0.00830,0.00003,0.01137867
0.30041,2.86173,1.22274,0.00000,1.00000,1.43204,0.00305,0.00830,0.02236,0.03371395
0.30041,2.86173,1.59862,0.00000,1.00000,1.66296,0.00296,0.00810,0.00000,0.01106522
2.24134,1.53663,1.10810,0.00000,1.00000,1.28889,0.03428,0.04264,0.04472,0.12164175
0.56640,0.56023,1.44291,0.00000,1.00000,2.11324,0.00406,0.00720,0.00002,0.01127419
0.03822,0.07935,1.32097,0.00000,1.00000,0.74103,0.00447,0.00851,0.00012,0.01309697
2.35378,0.07935,1.32097,0.00000,1.00000,0.74103,0.04745,0.05638,0.00255,0.10637898
0.03822,2.68934,1.32097,0.00000,1.00000,0.74103,0.00329,0.00841,0.00017,0.01187211
0.03822,2.68934,3.09555,0.00000,1.00000,0.74103,0.00431,0.00902,0.00031,0.01363923
0.03822,2.68934,3.09555,0.00000,1.00000,1.76387,0.00435,0.00897,0.00000,0.01331524
1.38676,0.35473,1.60990,0.00000,1.00000,2.24732,0.00467,0.00758,0.02236,0.03461215
2.10392,0.07678,0.91055,0.00000,1.00000,1.08088,0.02420,0.03006,0.02250,0.07676450
0.48978,1.56134,3.43151,0.00000,1.00000,2.51849,0.00716,0.01003,0.00000,0.01718649
0.31387,2.68934,3.09555,0.00000,1.00000,1.76387,0.00435,0.00897,0.00000,0.01331524
0.31387,1.26215,3.09555,0.00000,1.00000,1.76387,0.00397,0.00911,0.02238,0.03545858
0.31387,2.68934,2.90543,0.00000,1.00000,1.76387,0.00337,0.00865,0.00000,0.01202106
0.31387,2.68934,2.90543,0.00000,1.00000,1.95943,0.00348,0.00836,0.00000,0.01184266
0.12924,0.11403,1.61231,0.00000,1.00000,2.60004,0.00427,0.00627,0.00000,0.01054504
2.16037,1.34478,2.94763,0.00000,1.00000,0.99899,0.02556,0.03425,0.06709,0.12689809
2.41515,0.13889,0.83200,0.00000,1.00000,2.32816,0.04825,0.06033,0.02236,0.13094409
0.49456,2.42971,1.15305,0.00000,1.00000,1.57958,0.00305,0.00812,0.00247,0.01364446
0.52126,0.11403,1.61231,0.00000,1.00000,2.60004,0.00427,0.00627,0.00000,0.01054504
0.52126,2.27858,1.61231,0.00000,1.00000,2.60004,0.00367,0.00637,0.00000,0.01003862
0.52126,2.27858,3.11015,0.00000,1.00000,2.60004,0.00512,0.00716,0.00000,0.01228392
0.52126,2.27858,3.11015,0.00000,1.00000,2.82745,0.00512,0.00724,0.00000,0.01235786
1.88434,2.70203,0.25952,0.00000,1.00000,1.01390,0.01018,0.01584,0.04488,0.07089423
2.13712,1.88551,0.19424,0.00000,1.00000,2.38324,0.02341,0.02931,0.02236,0.07507939
2.47338,2.27858,3.11015,0.00000,1.00000,2.82745,0.05273,0.06582,0.00000,0.11854502
0.52126,2.27858,1.51107,0.00000,1.00000,2.82745,0.00377,0.00612,0.00000,0.00988871
0.52126,2.27858,1.51107,0.00000,1.00000,1.14842,0.00345,0.00834,0.02263,0.03442377
1.65986,0.57209,1.57623,0.00000,1.00000,2.56181,0.00514,0.00740,0.00000,0.01253686
0.03523,0.14891,0.11053,0.00000,1.00000,0.99221,0.00437,0.00849,0.02298,0.03584156
0.60104,1.25060,2.26765,0.00000,1.00000,2.29711,0.00255,0.00785,0.02236,0.03276614
1.11255,0.62775,2.76687,0.00000,1.00000,2.07526,0.00983,0.01622,0.02238,0.04843502
2.29053,2.27858,1.51107,0.00000,1.00000,2.82745,0.03202,0.04071,0.00000,0.07273323
0.52126,0.00136,1.51107,0.00000,1.00000,2.82745,0.00428,0.00602,0.00000,0.01030339
0.52126,0.00136,3.03463,0.00000,1.00000,2.82745,0.00517,0.00639,0.00000,0.01155730
0.52126,0.00136,3.03463,0.00000,1.00000,0.62763,0.00499,0.00825,0.00036,0.01359914
0.47911,2.21474,1.30857,0.00000,1.00000,1.79425,0.00336,0.00782,0.00047,0.01164666
0.32456,0.29020,0.69705,0.00000,1.00000,0.01353,0.00463,0.00855,0.06709,0.08026487
1.49429,1.40029,2.59844,0.00000,1.00000,1.79803,0.00256,0.00767,0.02236,0.03259097
0.47911,0.54315,1.30857,0.00000,1.00000,1.79425,0.00406,0.00787,0.00000,0.01193057
0.47911,0.54315,3.22436,0.00000,1.00000,1.79425,0.00533,0.00781,0.00000,0.01313898
0.47911,0.54315,1.30857,0.00000,1.00000,1.28901,0.00417,0.00842,0.00007,0.01266195
0.21450,1.94071,1.28242,0.00000,1.00000,2.56519,0.00423,0.00633,0.00247,0.01303467
0.23858,2.34027,2.55332,0.00000,1.00000,1.51084,0.00286,0.00812,0.00000,0.01097738
0.11465,2.13238,1.82343,0.00000,1.00000,1.57343,0.00376,0.00821,0.00000,0.01196508
0.11465,1.73259,1.82343,0.00000,1.00000,1.57343,0.00413,0.00825,0.00000,0.01238402
0.11465,1.73259,2.23498,0.00000,1.00000,1.57343,0.00406,0.00822,0.00000,0.01228044
