S,P,D,F,r_core_flag,rcore,Sscore,Pscore,Dscore,Fscore,Score
0.03,0.59,3.50,2.50,0.00,0.00,0.00118,0.00263,0.00004,0.00000,0.000961835
0.04,0.59,3.50,2.50,0.00,0.00,0.00118,0.00263,0.00004,0.00000,0.000961835
0.04,0.58,3.50,2.50,0.00,0.00,0.00118,0.00263,0.00004,0.00000,0.000962627
0.05,0.57,3.50,2.50,0.00,0.00,0.00119,0.00264,0.00004,0.00000,0.000965993
0.03,0.60,3.50,2.50,0.00,0.00,0.00118,0.00263,0.00004,0.00000,0.000962442
0.02,0.60,3.50,2.50,0.00,0.00,0.00118,0.00263,0.00004,0.00000,0.000962442
0.02,0.60,3.50,2.50,0.00,0.00,0.00118,0.00263,0.00004,0.00000,0.000962442
0.04,0.59,3.50,2.50,0.00,0.00,0.00118,0.00263,0.00004,0.00000,0.000961835
0.04,0.58,3.50,2.50,0.00,0.00,0.00118,0.00263,0.00004,0.00000,0.000962627
0.03,0.59,3.50,2.50,0.00,0.00,0.00118,0.00263,0.00004,0.00000,0.000961835
0.04,0.59,3.50,2.50,0.00,0.00,0.00118,0.00263,0.00004,0.00000,0.000961835
0.03,0.59,3.50,2.50,0.00,0.00,0.00118,0.00263,0.00004,0.00000,0.000961835
0.03,0.59,3.50,2.50,0.00,0.00,0.00118,0.00263,0.00004,0.00000,0.000961835
0.03,0.59,3.50,2.50,0.00,0.00,0.00118,0.00263,0.00004,0.00000,0.000961835
0.03,0.59,3.50,2.50,0.00,0.00,0.00118,0.00263,0.00004,0.00000,0.000961835
0.03,0.59,3.50,2.50,0.00,0.00,0.00118,0.00263,0.00004,0.00000,0.000961835
0.03,0.59,3.50,2.50,0.00,0.00,0.00118,0.00263,0.00004,0.00000,0.000961835
0.03,0.59,3.50,2.50,0.00,0.00,0.00118,0.00263,0.00004,0.00000,0.000961835
0.03,0.59,3.50,2.50,0.00,0.00,0.00118,0.00263,0.00004,0.00000,0.000961835
0.03,0.59,3.50,2.50,0.00,0.00,0.00118,0.00263,0.00004,0.00000,0.000961835
0.03,0.59,3.50,2.50,0.00,0.00,0.00118,0.00263,0.00004,0.00000,0.000961835
0.03,0.59,3.50,2.50,0.00,0.00,0.00118,0.00263,0.00004,0.00000,0.000961835
0.03,0.59,3.50,2.50,0.00,0.00,0.00118,0.00263,0.00004,0.00000,0.000961835
0.03,0.59,3.50,2.50,0.00,0.00,0.00118,0.00263,0.00004,0.00000,0.000961835
0.03,0.59,3.50,2.50,0.00,0.00,0.00118,0.00263,0.00004,0.00000,0.000961835
0.03,0.59,3.50,2.50,0.00,0.00,0.00118,0.00263,0.00004,0.00000,0.000961835
0.03,0.59,3.50,2.50,0.00,0.00,0.00118,0.00263,0.00004,0.00000,0.000961835
0.03,0.59,3.50,2.50,0.00,0.00,0.00118,0.00263,0.00004,0.00000,0.000961835
0.03,0.59,3.50,2.50,0.00,0.00,0.00118,0.00263,0.00004,0.00000,0.000961835
0.03,0.59,3.50,2.50,0.00,0.00,0.00118,0.00263,0.00004,0.00000,0.000961835
0.30,0.40,1.50,2.50,0.00,0.00,0.00098,0.00458,0.00000,0.00000,0.001389182
3.80,0.40,1.50,2.50,0.00,0.00,0.03917,0.05141,0.00002,0.00000,0.022649145
0.30,3.90,1.50,2.50,0.00,0.00,0.24865,0.43560,0.00014,0.00000,0.171096967
0.30,0.40,5.00,2.50,0.00,0.00,0.00307,0.00508,0.00019,0.00000,0.002085602
0.00,0.00,0.00,2.50,0.00,0.00,0.06096,0.11918,0.00220,0.00000,0.045586980
0.19,0.00,2.27,2.50,0.00,0.00,0.00158,0.00404,0.00000,0.00000,0.001405377
0.70,0.23,1.47,2.50,0.00,0.00,0.00157,0.00768,0.00000,0.00000,0.002314120
0.59,1.12,1.91,2.50,0.00,0.00,0.01975,0.01494,0.00000,0.00000,0.008674037
0.04,0.10,1.31,2.50,0.00,0.00,0.00338,0.01017,0.00000,0.00000,0.003385877
0.30,0.59,1.60,2.50,0.00,0.00,0.00072,0.00354,0.00000,0.00000,0.001064807
0.14,0.73,1.65,2.50,0.00,0.00,0.00093,0.00367,0.00000,0.00000,0.001150230
0.27,0.50,1.79,2.50,0.00,0.00,0.00078,0.00370,0.00000,0.00000,0.001121760
0.25,0.60,1.59,2.50,0.00,0.00,0.00072,0.00354,0.00000,0.00000,0.001065497
0.31,0.60,1.57,2.50,0.00,0.00,0.00072,0.00354,0.00000,0.00000,0.001065575
0.30,0.54,1.58,2.50,0.00,0.00,0.00074,0.00360,0.00000,0.00000,0.001086573
0.30,0.62,1.61,2.50,0.00,0.00,0.00074,0.00354,0.00000,0.00000,0.001068912
0.30,0.58,1.60,2.50,0.00,0.00,0.00072,0.00354,0.00000,0.00000,0.001065602
0.31,0.59,1.60,2.50,0.00,0.00,0.00072,0.00354,0.00000,0.00000,0.001064807
0.30,0.60,1.61,2.50,0.00,0.00,0.00072,0.00354,0.00000,0.00000,0.001065417
0.30,0.60,1.59,2.50,0.00,0.00,0.00072,0.00354,0.00000,0.00000,0.001065497
0.30,0.60,1.60,2.50,0.00,0.00,0.00072,0.00354,0.00000,0.00000,0.001065417
0.30,0.59,1.60,2.50,0.00,0.00,0.00072,0.00354,0.00000,0.00000,0.001064807
0.30,0.59,1.60,2.50,0.00,0.00,0.00072,0.00354,0.00000,0.00000,0.001064807
0.30,0.59,1.60,2.50,0.00,0.00,0.00072,0.00354,0.00000,0.00000,0.001064807
0.30,0.59,1.60,2.50,0.00,0.00,0.00072,0.00354,0.00000,0.00000,0.001064807
0.30,0.70,1.50,2.50,0.00,0.00,0.00086,0.00362,0.00000,0.00000,0.001121110
0.30,0.73,1.50,2.50,0.00,0.00,0.00093,0.00367,0.00000,0.00000,0.001150752
0.30,0.70,1.58,2.50,0.00,0.00,0.00087,0.00362,0.00000,0.00000,0.001120860
0.28,0.72,1.55,2.50,0.00,0.00,0.00090,0.00365,0.00000,0.00000,0.001139252
0.29,0.68,1.58,2.50,0.00,0.00,0.00081,0.00357,0.00000,0.00000,0.001097495
0.29,0.65,1.62,2.50,0.00,0.00,0.00078,0.00354,0.00000,0.00000,0.001078585
0.30,0.65,1.58,2.50,0.00,0.00,0.00078,0.00354,0.00000,0.00000,0.001078752
0.29,0.63,1.69,2.50,0.00,0.00,0.00075,0.00353,0.00000,0.00000,0.001070320
0.29,0.60,1.78,2.50,0.00,0.00,0.00073,0.00353,0.00000,0.00000,0.001064400
0.29,0.57,1.75,2.50,0.00,0.00,0.00073,0.00354,0.00000,0.00000,0.001068122
0.27,0.57,1.86,2.50,0.00,0.00,0.00073,0.00354,0.00000,0.00000,0.001067093
0.28,0.50,1.97,2.50,0.00,0.00,0.00079,0.00369,0.00000,0.00000,0.001119935
0.28,0.62,1.71,2.50,0.00,0.00,0.00074,0.00353,0.00000,0.00000,0.001068367
0.28,0.54,1.88,2.50,0.00,0.00,0.00075,0.00359,0.00000,0.00000,0.001084357
0.28,0.60,1.75,2.50,0.00,0.00,0.00072,0.00353,0.00000,0.00000,0.001064575
0.27,0.61,1.84,2.50,0.00,0.00,0.00074,0.00352,0.00000,0.00000,0.001065790
0.30,0.64,1.73,2.50,0.00,0.00,0.00077,0.00353,0.00000,0.00000,0.001074905
0.28,0.58,1.83,2.50,0.00,0.00,0.00072,0.00353,0.00000,0.00000,0.001063962
0.29,0.58,1.73,2.50,0.00,0.00,0.00072,0.00354,0.00000,0.00000,0.001064912
0.29,0.58,1.76,2.50,0.00,0.00,0.00072,0.00354,0.00000,0.00000,0.001064757
0.28,0.60,1.82,2.50,0.00,0.00,0.00073,0.00353,0.00000,0.00000,0.001064005
0.28,0.59,1.86,2.50,0.00,0.00,0.00072,0.00353,0.00000,0.00000,0.001062930
0.28,0.59,1.92,2.50,0.00,0.00,0.00073,0.00352,0.00000,0.00000,0.001062407
0.27,0.58,1.92,2.50,0.00,0.00,0.00073,0.00353,0.00000,0.00000,0.001063200
0.27,0.57,1.96,2.50,0.00,0.00,0.00074,0.00353,0.00000,0.00000,0.001065940
0.28,0.59,1.85,2.50,0.00,0.00,0.00072,0.00353,0.00000,0.00000,0.001063165
0.27,0.60,1.97,2.50,0.00,0.00,0.00073,0.00352,0.00000,0.00000,0.001062395
0.27,0.60,2.04,2.50,0.00,0.00,0.00074,0.00351,0.00000,0.00000,0.001061260
0.28,0.61,1.95,2.50,0.00,0.00,0.00074,0.00351,0.00000,0.00000,0.001064408
0.27,0.59,1.93,2.50,0.00,0.00,0.00073,0.00352,0.00000,0.00000,0.001062107
0.27,0.60,2.07,2.50,0.00,0.00,0.00074,0.00350,0.00000,0.00000,0.001060850
0.27,0.60,2.18,2.50,0.00,0.00,0.00075,0.00348,0.00000,0.00000,0.001058215
0.26,0.60,2.18,2.50,0.00,0.00,0.00075,0.00348,0.00000,0.00000,0.001058215
0.26,0.61,2.34,2.50,0.00,0.00,0.00078,0.00344,0.00000,0.00000,0.001056380
0.25,0.62,2.54,2.50,0.00,0.00,0.00082,0.00337,0.00001,0.00000,0.001049572
0.25,0.61,2.56,2.50,0.00,0.00,0.00082,0.00337,0.00001,0.00000,0.001048095
0.24,0.62,2.82,2.50,0.00,0.00,0.00089,0.00323,0.00001,0.00000,0.001034157
0.25,0.62,2.85,2.50,0.00,0.00,0.00090,0.00321,0.00001,0.00000,0.001031657
0.24,0.63,3.18,2.50,0.00,0.00,0.00105,0.00294,0.00003,0.00000,0.001003375
0.23,0.65,3.50,2.50,0.00,0.00,0.00124,0.00262,0.00004,0.00000,0.000975697
0.21,0.67,3.50,2.50,0.00,0.00,0.00126,0.00265,0.00004,0.00000,0.000987695
0.22,0.64,3.50,2.50,0.00,0.00,0.00123,0.00262,0.00004,0.00000,0.000972622
0.20,0.65,3.50,2.50,0.00,0.00,0.00124,0.00262,0.00004,0.00000,0.000975697
0.22,0.66,3.50,2.50,0.00,0.00,0.00125,0.00264,0.00004,0.00000,0.000981442
0.20,0.67,3.50,2.50,0.00,0.00,0.00126,0.00265,0.00004,0.00000,0.000987695
0.21,0.66,3.50,2.50,0.00,0.00,0.00125,0.00264,0.00004,0.00000,0.000981442
0.23,0.64,3.50,2.50,0.00,0.00,0.00123,0.00262,0.00004,0.00000,0.000972622
0.23,0.62,3.50,2.50,0.00,0.00,0.00120,0.00262,0.00004,0.00000,0.000965937
0.24,0.60,3.50,2.50,0.00,0.00,0.00118,0.00263,0.00004,0.00000,0.000962442
0.24,0.61,3.50,2.50,0.00,0.00,0.00120,0.00262,0.00004,0.00000,0.000964462
0.23,0.59,3.50,2.50,0.00,0.00,0.00118,0.00263,0.00004,0.00000,0.000961835
0.23,0.57,3.50,2.50,0.00,0.00,0.00119,0.00264,0.00004,0.00000,0.000965993
0.25,0.56,3.50,2.50,0.00,0.00,0.00119,0.00264,0.00004,0.00000,0.000969188
0.24,0.58,3.50,2.50,0.00,0.00,0.00118,0.00263,0.00004,0.00000,0.000962627
0.24,0.58,3.50,2.50,0.00,0.00,0.00118,0.00263,0.00004,0.00000,0.000962627
0.24,0.58,3.50,2.50,0.00,0.00,0.00118,0.00263,0.00004,0.00000,0.000962627
0.24,0.60,3.50,2.50,0.00,0.00,0.00118,0.00263,0.00004,0.00000,0.000962442
0.23,0.62,3.50,2.50,0.00,0.00,0.00120,0.00262,0.00004,0.00000,0.000965937
0.24,0.59,3.50,2.50,0.00,0.00,0.00118,0.00263,0.00004,0.00000,0.000961835
0.24,0.59,3.50,2.50,0.00,0.00,0.00118,0.00263,0.00004,0.00000,0.000961835
0.23,0.58,3.50,2.50,0.00,0.00,0.00118,0.00263,0.00004,0.00000,0.000962627
0.24,0.60,3.50,2.50,0.00,0.00,0.00118,0.00263,0.00004,0.00000,0.000962442
