S,P,D,F,rcore_flag,rcore,DeltaE,qmax,Score
0.72,2.24,2.73,2.89,0.0,0.0,99.12046000000001,1.9051482536448665,101.02560825364488
1.17,1.5,2.36,0.53,0.0,0.0,234.23753,1.9051482536448665,236.14267825364485
1.21,2.13,0.91,1.15,0.0,0.0,478.28074000000004,1.856817601110895,480.1375576011109
0.06,1.11,0.91,1.15,0.0,0.0,82.52143,1.9051482536448665,84.42657825364486
0.06,1.11,1.41,1.15,0.0,0.0,82.52143,1.9051482536448665,84.42657825364486
0.06,1.11,1.41,1.94,0.0,0.0,82.52143,1.9051482536448665,84.42657825364486
1.09,1.53,1.58,1.54,0.0,0.0,244.80158,1.9051482536448665,246.70672825364485
1.5,2.07,2.64,1.74,0.0,0.0,235.51128999999997,1.8931933404003516,237.40448334040033
0.06,1.11,1.41,1.94,0.0,0.0,82.52143,1.9051482536448665,84.42657825364486
0.06,1.11,1.3,1.94,0.0,0.0,82.52143,1.9051482536448665,84.42657825364486
0.06,1.11,1.3,2.81,0.0,0.0,82.52143,1.9051482536448665,84.42657825364486
1.19,0.24,2.98,1.08,0.0,0.0,257.81661,1.9051482536448665,259.7217582536449
1.43,2.34,0.85,3.54,0.0,0.0,100.92823,1.8993387348050463,102.82756873480504
0.24,1.37,0.56,3.21,0.0,0.0,184.46601,1.9051482536448665,186.37115825364486
0.29,2.38,0.15,0.97,0.0,0.0,83.21127000000001,1.9051482536448665,85.11641825364488
0.34,2.38,0.15,0.97,0.0,0.0,83.21127000000001,1.9051482536448665,85.11641825364488
0.34,1.45,0.15,0.97,0.0,0.0,241.74280000000002,1.9051482536448665,243.64794825364487
0.34,2.38,2.56,0.97,0.0,0.0,83.21127000000001,1.9051482536448665,85.11641825364488
0.34,2.38,2.56,2.95,0.0,0.0,83.21127000000001,1.9051482536448665,85.11641825364488
1.2,0.82,1.27,3.35,0.0,0.0,84.42303,1.8649066177207416,86.28793661772073
1.29,1.91,0.39,2.36,0.0,0.0,475.25727,1.9051482536448665,477.1624182536449
0.07,0.11,1.93,1.8,0.0,0.0,297.20232,1.9051482536448665,299.10746825364487
0.89,0.15,1.77,2.64,0.0,0.0,328.68865,1.9051482536448665,330.5937982536449
0.05,0.82,1.27,3.35,0.0,0.0,236.09207999999998,1.9051482536448665,237.99722825364483
1.2,0.73,1.27,3.35,0.0,0.0,165.76295,1.7481544703297354,167.5111044703297
1.2,0.82,0.02,3.35,0.0,0.0,84.42303,1.8649066177207416,86.28793661772073
1.2,0.82,0.02,0.5,0.0,0.0,84.42303,1.8866951493840523,86.30972514938405
1.02,2.35,1.33,0.81,0.0,0.0,464.27641,1.9051482536448665,466.1815582536449
1.41,0.22,1.57,0.74,0.0,0.0,86.03027,1.9051482536448665,87.93541825364487
1.15,0.5,1.58,1.61,0.0,0.0,85.27797000000001,1.9051482536448665,87.18311825364488
0.75,0.06,2.76,3.55,0.0,0.0,82.51850999999999,1.9051482536448665,84.42365825364486
0.12,0.06,2.76,3.55,0.0,0.0,429.3538,1.9051482536448665,431.25894825364486
0.75,2.44,2.76,3.55,0.0,0.0,88.50365,1.9051482536448665,90.40879825364486
0.75,0.06,1.56,3.55,0.0,0.0,82.51850999999999,1.9051482536448665,84.42365825364486
0.75,0.06,1.56,3.94,0.0,0.0,82.51850999999999,1.9051482536448665,84.42365825364486
0.8,2.32,1.89,3.55,0.0,0.0,82.9686,1.9051482536448665,84.87374825364486
0.16,0.31,0.22,1.92,0.0,0.0,82.51831,1.9051482536448665,84.42345825364487
1.17,2.23,2.12,1.72,0.0,0.0,476.00805,1.9051482536448665,477.9131982536449
1.07,0.01,1.34,3.04,0.0,0.0,385.41332,1.9051482536448665,387.3184682536449
0.96,0.31,0.22,1.92,0.0,0.0,420.12343999999996,1.9051482536448665,422.02858825364484
0.16,1.28,0.22,1.92,0.0,0.0,271.08286,1.9051482536448665,272.98800825364486
0.16,0.31,0.87,1.92,0.0,0.0,82.51831,1.9051482536448665,84.42345825364487
0.16,0.31,0.87,1.95,0.0,0.0,82.51831,1.9051482536448665,84.42345825364487
1.2,2.23,0.29,2.75,0.0,0.0,256.23103000000003,1.9051482536448665,258.1361782536449
1.04,0.38,1.93,0.88,0.0,0.0,84.422,1.9051482536448665,86.32714825364486
1.31,1.67,0.29,3.83,0.0,0.0,82.56546,1.9051482536448665,84.47060825364487
0.72,2.04,2.79,3.92,0.0,0.0,82.72243,1.9051482536448665,84.62757825364487
0.94,2.04,2.79,3.92,0.0,0.0,154.41798,1.6351489523872873,156.05312895238728
0.72,1.12,2.79,3.92,0.0,0.0,281.91706999999997,1.8931933404003516,283.8102633404003
0.72,2.04,1.15,3.92,0.0,0.0,82.72243,1.9051482536448665,84.62757825364487
0.72,2.04,1.15,0.86,0.0,0.0,82.72243,1.9051482536448665,84.62757825364487
0.73,0.5,2.79,1.24,0.0,0.0,82.51054,1.9051482536448665,84.41568825364487
1.22,0.44,0.26,0.61,0.0,0.0,486.8758,1.9051482536448665,488.7809482536449
1.21,1.15,0.11,0.98,0.0,0.0,239.49668,1.9051482536448665,241.40182825364485
0.69,0.5,2.79,1.24,0.0,0.0,420.63338,1.9051482536448665,422.53852825364487
0.73,1.62,2.79,1.24,0.0,0.0,142.94626,1.9051482536448665,144.85140825364485
0.73,0.5,2.05,1.24,0.0,0.0,82.51054,1.9051482536448665,84.41568825364487
0.73,0.5,2.05,3.22,0.0,0.0,82.51054,1.9051482536448665,84.41568825364487
1.01,2.2,2.34,1.2,0.0,0.0,242.92530000000002,1.9051482536448665,244.83044825364487
1.1,1.88,2.39,0.09,0.0,0.0,86.19032999999999,1.5545997223493822,87.74492972234937
0.76,1.29,1.32,0.76,0.0,0.0,94.97739,1.2153263396657832,96.19271633966578
0.29,2.07,1.61,1.66,0.0,0.0,479.38993999999997,1.6351489523872873,481.02508895238725
1.3,0.5,2.05,3.22,0.0,0.0,381.79591000000005,1.9051482536448665,383.70105825364493
0.73,1.83,2.05,3.22,0.0,0.0,335.45106,1.8649066177207416,337.31596661772073
0.73,0.5,1.17,3.22,0.0,0.0,82.51054,1.9051482536448665,84.41568825364487
0.73,0.5,1.17,1.03,0.0,0.0,82.51054,1.9051482536448665,84.41568825364487
0.02,2.09,1.86,3.24,0.0,0.0,269.75532,1.5963735554792424,271.35169355547924
0.7,0.89,2.26,3.39,0.0,0.0,278.50181999999995,1.9051482536448665,280.40696825364483
0.63,2.14,0.37,3.71,0.0,0.0,236.71561000000003,1.9051482536448665,238.62075825364488
1.06,0.5,1.17,1.03,0.0,0.0,84.42269000000002,1.9051482536448665,86.32783825364488
