S,P,D,F,r_core_flag,rcore,Sscore,Pscore,Dscore,Fscore,Score
0.12,0.19,0.97,0.25,0.00,0.00,0.31587,0.23575,0.00000,0.00000,0.137904255
0.12,0.19,0.97,0.25,0.00,0.00,0.31587,0.23575,0.00000,0.00000,0.137904255
0.12,0.19,0.97,0.25,0.00,0.00,0.31587,0.23575,0.00000,0.00000,0.137904255
0.12,0.19,0.97,0.25,0.00,0.00,0.31587,0.23575,0.00000,0.00000,0.137904255
0.12,0.19,0.97,0.25,0.00,0.00,0.31587,0.23575,0.00000,0.00000,0.137904255
0.12,0.19,0.97,0.25,0.00,0.00,0.31587,0.23575,0.00000,0.00000,0.137904255
0.12,0.19,0.97,0.25,0.00,0.00,0.31587,0.23575,0.00000,0.00000,0.137904255
0.12,0.19,0.97,0.25,0.00,0.00,0.31587,0.23575,0.00000,0.00000,0.137904255
0.10,0.20,1.50,0.25,0.00,0.00,1.48581,1.30332,0.00000,0.00000,0.697282600
3.60,0.20,1.50,0.25,0.00,0.00,1.35988,0.86367,0.00002,0.00000,0.555891592
3.60,3.70,1.50,0.25,0.00,0.00,1.35981,1.01717,0.00015,0.00000,0.594282213
3.60,0.20,5.00,0.25,0.00,0.00,1.35798,0.86181,0.00015,0.00000,0.554985467
1.50,0.00,2.50,0.25,0.00,0.00,0.51241,0.32479,0.00001,0.00000,0.209302698
1.50,0.86,2.67,0.25,0.00,0.00,0.48125,0.32507,0.00001,0.00000,0.201580725
1.50,0.18,1.64,0.25,0.00,0.00,4.48731,70.00000,0.00000,0.00000,18.621829140
1.72,0.00,2.50,0.25,0.00,0.00,0.96768,0.34263,0.00000,0.00000,0.327578660
1.47,0.04,2.29,0.25,0.00,0.00,1.59616,3.55152,0.00000,0.00000,1.286918175
1.50,0.11,2.52,0.25,0.00,0.00,1.10348,0.32751,0.00001,0.00000,0.357749458
1.47,-0.00,2.50,0.25,0.00,0.00,0.91155,70.00000,0.00001,0.00000,17.727888057
1.50,0.01,2.45,0.25,0.00,0.00,0.84181,0.32887,0.00000,0.00000,0.292671018
1.50,0.03,2.50,0.25,0.00,0.00,6.87234,3.08484,0.00000,0.00000,2.489297115
